year,parent_entity,parent_type,lei,total_emissions_MtCO2e
1962,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,0.49824004293295399000
1963,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,1.05022217067969536000
1964,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,4.17401764031188760000
1965,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,6.19384885445059760000
1966,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,7.56204993225597460000
1967,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,7.99871172933415760000
1968,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,10.12602711310044080000
1969,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,12.31828330200544070000
1970,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,14.18472442274377250000
1971,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,19.00253603834800500000
1972,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,20.94175412526603500000
1973,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,54.03509838132456700000
1974,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,127.56894500929051700000
1975,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,126.14208265065049300000
1976,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,145.66152218733238700000
1977,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,154.82500305767901300000
1978,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,140.22852348945567900000
1979,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,143.49902359673235000000
1980,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,135.84393566678834500000
1981,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,121.74272077655630000000
1982,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,103.64986995446191000000
1983,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,96.72316597978736000000
1984,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,97.50877020317248800000
1985,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,97.44740743407728000000
1986,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,142.46940331679163600000
1987,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,187.46692260642256000000
1988,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,181.57305311127883500000
1989,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,247.62357195748627000000
1990,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,273.11435451940613400000
1991,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,328.62562622738866600000
1992,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,310.86164868523302000000
1993,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,304.51468627473835000000
1994,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,321.22307311374947000000
1995,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,317.89637740541739000000
1996,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,317.30965345299554000000
1997,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,334.32225572110307000000
1998,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,361.21322819749012600000
1999,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,343.13515320617472000000
2000,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,352.52090848170540000000
2001,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,345.89794924263458000000
2002,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,332.78495744252834000000
2003,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,358.86651130718832000000
2004,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,377.11281813415377000000
2005,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,428.03971010869885000000
2006,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,454.39745609480164000000
2007,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,439.45569490000334000000
2008,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,455.23134764548798000000
2009,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,405.90544145577970000000
2010,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,416.30205929871766000000
2011,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,482.10270555010158000000
2012,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,520.92344888875338000000
2013,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,538.53373744581913000000
2014,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,542.82692844036014000000
2015,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,565.95905666278890000000
2016,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,579.95476879002912000000
2017,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,628.28433289838420000000
2018,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,692.40347896827330000000
2019,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,728.98221306479497000000
2020,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,705.47238723850790000000
2021,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,705.47238723850790000000
2022,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,705.47238723850790000000
2023,Abu Dhabi National Oil Company,State-owned Entity,5493009O1JMLWDLTIC26,705.47238723850790000000
2012,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,8.07636177449011000000
2013,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,8.25807991441613600000
2014,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,15.99119631349041800000
2015,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,20.91777699592938300000
2016,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,23.11858557947794000000
2017,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,22.51285844639118000000
2018,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,34.12262849722071000000
2019,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,26.77515837287833400000
2020,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,31.74010177374613300000
2021,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,54.07124208021129000000
2022,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,93.10574286785019800000
2023,Adani Group,Investor-owned Company,335800OTN96B3M38HC30,106.88798277000307000000
1992,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,2.01909044362252740000
1993,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,2.82672662107153850000
1994,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,4.84581706469406550000
1995,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,11.10499743992390000000
1996,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,17.36417781515373400000
1997,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,18.97945017005176000000
1998,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,22.00808583548555000000
1999,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,27.45963003326637000000
2000,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,31.29590187614917300000
2001,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,35.73790085211873400000
2002,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,41.99708122734857000000
2003,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,45.42953498150687000000
2004,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,49.06389778002742000000
2005,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,53.90971484472148500000
2006,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,69.45671126061494000000
2007,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,72.88916501477324000000
2008,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,77.73498207946731000000
2009,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,81.97507201107462000000
2010,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,85.20561672087067000000
2011,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,96.31061416079457000000
2012,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,95.30106893898329000000
2013,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,105.59843020145817000000
2014,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,113.47288293158606000000
2015,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,103.98315784656018000000
2016,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,106.41261319363436210000
2017,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,105.44165894864903000000
2018,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,114.49811262355225000000
2019,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,122.11646578553454200000
2020,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,114.75117834370496600000
2021,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,109.10253766889189000000
2022,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,130.15357184558133900000
2023,AlamTri Resources,Investor-owned Company,529900P2WAH7XA87OI24,136.38852337052366600000
1996,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,22.16025695492802700000
1997,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,26.83853342319061000000
1998,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,32.99416035511506000000
1999,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,34.71773589605391000000
2000,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,33.73283558694599500000
2001,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,38.65733713248555000000
2002,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,44.32051390985605400000
2003,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,47.27521483717979000000
2004,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,50.17328399672982000000
2005,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,56.38554269642797600000
2006,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,58.35534331464381000000
2007,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,59.83269377830567500000
2008,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,65.07482567353253000000
2009,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,63.61963546682560000000
2010,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,71.06055730213588000000
2011,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,75.72159801498907000000
2012,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,85.68632689238837000000
2013,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,95.49100946955764000000
2014,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,100.33425673959580000000
2015,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,101.39056232111403000000
2016,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,86.77956623549815000000
2017,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,92.60278931309870000000
2018,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,99.14498961634798000000
2019,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,99.15096811244135865000
2020,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,67.23353452350612463000
2021,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,80.11537162433136066000
2022,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,88.39018548594396698000
2023,Alliance Resource Partners,Investor-owned Company,529900T4Q5UPWOUFG783,86.12644484911872446000
1981,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,35.36244154230177400000
1982,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,46.78451016225994200000
1983,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,45.98684611819620100000
1984,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,59.42344627470093000000
1985,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,61.60944962577962500000
1986,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,58.63587925384424600000
1987,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,44.78025304658736900000
1988,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,42.91230561766195200000
1989,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,42.65988031520426400000
1990,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,47.20353618569829400000
1991,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,42.65988031520426400000
1992,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,45.43655890730296900000
1993,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,55.53357198930820000000
1994,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,63.98982045914950000000
1995,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,72.44606892899078400000
1996,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,80.52367938089799400000
1997,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,87.20790204842916800000
1998,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,97.48795211860361000000
1999,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,247.53253006891575500000
2000,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,263.28480107840616000000
2001,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,278.17548820292843000000
2002,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,289.03653407850306500000
2003,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,328.28662241433714600000
2004,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,304.90563807239972100000
2005,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,324.41409828603663600000
2006,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,340.01220264423638300000
2007,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,341.13838717979348200000
2008,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,336.38692591601664200000
2009,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,305.39864451141671000000
2010,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,299.47042728841981200000
2011,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,304.95118977099197800000
2012,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,272.54252973459211400000
2013,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,218.61099213383056000000
2014,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,201.17374818779970600000
2015,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,176.68994953298452400000
2016,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,31.11236987436701100000
2017,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,27.10565900341863700000
2018,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,29.51102388303445450000
2019,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,53.79344404799952300000
2020,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,40.25058695202946200000
2021,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,42.51373143640200850000
2022,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,42.13800182269796060000
2023,Alpha Metallurgical Resources,Investor-owned Company,549300C9E158C3V6PT51,43.91531009449013900000
1988,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,2.46225077276978070000
1989,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,5.56058299435100500000
1990,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,8.65891521839448000000
1991,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,11.75724743997570300000
1992,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,14.85557966155692900000
1993,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,17.95391188560040500000
1994,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,21.05224410718163000000
1995,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,24.15057632876285000000
1996,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,27.24890856019307600000
1997,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,30.34724077438754700000
1998,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,33.44557298858202000000
1999,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,36.54390522739900000000
2000,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,39.64223744159347000000
2001,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,38.65733713248555000000
2002,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,48.75256530084166000000
2003,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,47.76766499173375000000
2004,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,53.18461669182727000000
2005,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,48.94462086111770600000
2006,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,50.29393428459554400000
2007,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,68.32992119513419000000
2008,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,64.16379288760773000000
2009,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,61.80249439652149600000
2010,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,60.81759408741359000000
2011,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,65.24964547839919000000
2012,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,71.93711857724192000000
2013,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,160.04630023003574000000
2014,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,154.66628229153378000000
2015,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,136.71401190726930000000
2016,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,113.34478982291132000000
2017,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,112.94098069617708000000
2018,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,114.25336035806336000000
2019,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,117.45182411189131000000
2020,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,120.65028786571926000000
2021,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,120.65028786571926000000
2022,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,135.42379250233796000000
2023,American Consolidated Natural Resources,Investor-owned Company,549300WM5IIFYHZYTT63,123.11253863848904000000
1909,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,0.72614681401029460000
1910,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,0.85424284148170090000
1911,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,0.92174429682222040000
1912,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,0.98924575216273970000
1913,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,1.05674720750325910000
1914,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,1.12424866284377840000
1915,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,1.19175011818429780000
1916,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,1.25925157352481730000
1917,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,1.32675302886533690000
1918,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,1.39425448420585620000
1919,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,1.46175593954637550000
1920,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,1.52925739488689500000
1921,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,2.21870887432855200000
1922,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,2.90816035377020900000
1923,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,3.59761183321186670000
1924,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,4.28706331265352400000
1925,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,4.97651479209518100000
1926,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,5.66596627153683800000
1927,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,6.35541775097849550000
1928,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,7.04486923042015300000
1929,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,7.06067331652933000000
1930,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,7.10523752215772300000
1931,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,7.74107073692445300000
1932,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,8.37690395169118300000
1933,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,9.01273716645791000000
1934,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,9.64857038122464000000
1935,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,10.28440359599137000000
1936,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,10.92023681075810000000
1937,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,11.55607002552482900000
1938,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,12.19190324029155700000
1939,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,12.82773645505828800000
1940,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,13.46356966982501600000
1941,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,14.92021356802498400000
1942,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,16.37685746622495000000
1943,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,17.83350136442491500000
1944,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,19.29014526262488300000
1945,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,20.74678916082485000000
1946,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,22.20343305902481700000
1947,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,23.66007695722478000000
1948,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,25.11672085542475000000
1949,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,26.57336475362472000000
1950,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,26.03027759309400600000
1951,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,25.56175633808890500000
1952,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,27.22633533175004300000
1953,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,28.89091432541118000000
1954,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,28.32572750803785000000
1955,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,29.21093285255278000000
1956,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,30.09613819706772000000
1957,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,30.27699902117559000000
1958,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,32.78997429222932000000
1959,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,32.45946986057854400000
1960,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,34.09621162700525000000
1961,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,34.55386194541832000000
1962,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,34.72025030206669500000
1963,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,34.52921989211466000000
1964,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,35.91203240753173000000
1965,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,44.43862593367293000000
1966,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,42.44593681555942000000
1967,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,40.45324769744590000000
1968,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,34.52695116461098500000
1969,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,28.60065463177605600000
1970,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,31.08074460881040200000
1971,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,34.02037393089208000000
1972,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,36.96000325297375600000
1973,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,39.89963257505544000000
1974,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,44.52922498056416960000
1975,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,48.73203580553053430000
1976,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,55.53150159311578140000
1977,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,65.00049343834259000000
1978,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,80.05117178921715300000
1979,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,81.67731577119051200000
1980,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,87.57744349414811800000
1981,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,87.15456624838521000000
1982,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,82.29240661071789200000
1983,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,82.34826003967267100000
1984,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,89.16954658491981100000
1985,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,88.93260376469228100000
1986,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,99.65668229148942100000
1987,Anglo American,Investor-owned Company,549300S9XF92D1X8ME43,102.79085965420088200000
